Poulsbo,47.7417,-122.6407,10670,0,10670
Cedonia,48.1538,-118.1692,,0,0
Union,47.3475,-123.0952,,0,0
Suquamish,47.7237,-122.583,,0,0
Deep Creek,47.6429,-117.7122,,0,0
Yoman,47.1865,-122.7062,,0,0
Cordell,48.8665,-119.412,,0,0
Hoquiam,46.9863,-123.9023,8500,0,8500
Hay,46.6788,-117.9158,,0,0
Nespelem,48.167,-118.9722,313,0,313
Ephrata,47.3119,-119.5344,7275,0,7275
Kent,47.3887,-122.2128,128458,0,128458
Mukilteo,47.9094,-122.3035,21469,0,21469
Boise,47.1804,-122.0157,,0,0
Kirkland,47.6997,-122.2041,88630,0,88630
Waitsburg,46.2696,-118.151,1195,0,1195
Ridgecrest,47.7473,-122.3179,,0,0
Freeman,47.5182,-117.1958,,0,0
Dallesport,45.6316,-121.1749,,0,0
Redmond,47.6762,-122.1166,64291,0,64291
Wilkeson,47.1034,-122.0495,507,0,507
Sisco Heights,48.1188,-122.1076,,0,0
Lewisville,45.8127,-122.5144,,0,0
Kennard Corner,47.8201,-122.2076,,0,0
Benge,46.9093,-118.1025,,0,0
Granger,46.3455,-120.1925,3542,0,3542
Yarrow Point,47.6452,-122.2179,1126,0,1126
Lost Creek,48.6094,-117.3636,,0,0
Moxee City,46.5537,-120.3831,,0,0
Hockinson,45.7301,-122.4833,,0,0
Oakville,46.8403,-123.2333,684,0,684
Tukwila,47.4748,-122.2727,20144,0,20144
Mabana,48.0945,-122.4151,,0,0
Kangley,47.3618,-121.8801,,0,0
Clallam Bay,48.2536,-124.2579,,0,0
Newport,48.179,-117.0549,2635,0,2635
Enetai,47.5885,-122.6058,,0,0
Clearview,47.8292,-122.1452,,0,0
Sahalee,47.6348,-122.0554,,0,0
Yelm,46.9398,-122.6261,16504,0,16504
Midway,47.3048,-122.5896,,0,0
Olympia,47.0418,-122.8959,196078,0,196078
Endicott,46.9282,-117.6868,305,0,305
Lind,46.9703,-118.6162,556,0,556
Fife,47.2328,-122.3517,10154,0,10154
Newport Hills,47.5409,-122.1765,,0,0
Upper Mill,47.1934,-121.9271,,0,0
Upper Preston,47.5051,-121.9076,,0,0
Pateros,48.0536,-119.8994,701,0,701
Nordland,48.0509,-122.691,,0,0
Tyler,47.436,-117.7835,,0,0
Camden,48.0474,-117.2399,,0,0
Palisades,47.419,-119.9145,,0,0
Rockport,48.4854,-121.6065,,0,0
Port Orchard,47.516,-122.6615,13997,0,13997
Preston,47.5237,-121.9271,,0,0
Tieton,46.7026,-120.756,1294,0,1294
Rochester,46.8288,-123.0722,,0,0
Bingen,45.7139,-121.4704,729,0,729
Harbour Pointe,47.8857,-122.3051,,0,0
Wellpinit,47.8879,-117.988,,0,0
Glacier,48.8902,-121.9323,,0,0
Farmington,47.0887,-117.0464,154,0,154
Eastsound,48.6968,-122.9055,,0,0
